Mass,RT,Blank01,Blank02,Blank03,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
147.0896,0.79,132203.768,1071396.289,240890.3669,462307.9144,60526.6364,316125.6989,77635.10912,203219.2064,420870.6809,202592.9901,209202.5666,87990.10595,734523.2491,128864.8684,58690.14605,221579.1052,202411.8912,123166.6802,395945.9659,329664.7246,481062.3928,489268.484,440577.7487,370910.7335,343787.0226,534038.4636,610393.8747,659645.1161,1978092.297,13657156.95,10207224.28,2924092.637,2730578.295,1556982.182,1570168.722,1613816.336,1593214.781,1585450.803,1578509.312
170.1421,3.72,7178506.505,7677950.396,7461188.482,11655649.2,10733019.58,12827031.05,10791886.98,13353838.01,11221960.27,11135308.11,10734803.83,10627184.65,10750751.25,10916020.86,11067053.77,9797216.549,10294892.67,10330826.21,10170911.82,10884400.99,11194369.07,10637776.15,10930224,10726598.01,10983994.85,10771588.25,10619147.55,10003554.22,11804016.66,10181303.49,10981828.16,10201401.6,9987673.864,11016731.19,11099117.02,10812122.41,10906098.97,10833028.33,10545973.3
124.0085,2.73,,,,,,,,,11827193.23,11960468.58,11064019.84,13404822.81,12279322.86,9917993.226,10621821.95,8427216.664,9335208.934,10534700.23,,,,,,,,11124126.91,12784874.94,11610937.51,10475399.04,11206297.33,11473103.19,13512203.98,11186813.08,9349280.087,9344242.734,9420238.01,9632149.34,9808229.053,9834280.75
238.2179,0.7,61200.09253,2187823.376,149554.1699,,,,,12621042.08,869101.5443,,,,,,7136982.742,,,,,,,256285.5898,,,,,,,,,,,,314579.3194,322323.5559,343646.9518,354342.8722,360027.6641,404212.111
132.0249,0.62,,,,8309664.548,11535542.43,9111032.952,8391036.995,5048020.143,9967106.569,11212976.65,10115120.15,10824812.7,12386120.21,6149056.996,4518770.629,3679409.744,6865990.456,5773117.641,10569688.86,8632185.636,9337692.612,5816720.12,10901844.15,8973965.635,8582927.686,5483833.531,5637797.564,4127737.797,4738380.506,10526528,7033520.915,9107219.498,8914164.337,7534271.868,7606903.698,7810281.685,8267883.758,8454911.201,8559190.728
241.069,1.8,,,,,,,,,628541.8095,157078.7243,104036.0761,279338.5786,149225.172,11457650.58,779108.5869,1912989.785,1195202.102,1158444.123,,,,,,,,245558.6569,176455.422,262278.2185,607099.902,1275952.594,756471.2009,2062485.574,684116.9755,1019330.134,1016061.609,1065033.933,1071902.083,1096317.854,1081154.374
68.0624,0.98,65345.11292,134863.665,92002.59893,6656115.12,9567140.021,7225522.339,7946449.815,6706008.645,6516427.099,23512851.37,,23155317.25,25010084.1,6816498.417,6669058.676,5536041.901,5351376.148,7708486.813,,7133242.021,9568513.479,7786001.002,9568384.888,9481331.587,8691662.757,5962257.786,5742083.067,5070229.904,5010402.814,7494797.17,7109201.022,9862213.29,7910890.989,7527840.528,7368195.67,7562373.819,8255500.167,8777804.722,8857826.694
147.0534,0.4,34366.75617,51851.6667,,8134460.894,11092663.86,10310184.25,9250521.042,7083711.761,7723675.052,7176647.035,8718353.313,7685433.774,8730034.064,5981700.905,5926724.064,6796252.838,7311207.277,6506328.719,10196527.39,10768997.84,10515722.78,8710672.747,9070618.469,7768790.384,8996835.155,6063330.917,6638023.894,6152596.018,4669140.197,5177869.056,5175283.194,6112322.837,3356768.928,7591018.829,7673912.37,7425019.373,7363680.2,7193956.517,7455040.434
363.0588,0.68,,,,4570799.054,6832238.203,4221580.783,4928342.304,3074960.94,8082453.47,9206734.5,8587871.417,9305290.572,8042672.26,8009136.476,5514537.558,7830477.202,5849984.599,8534378.306,6690854.414,6343296.328,5177765.814,5326849.228,7509278.211,8235868.567,8783013.371,7160144.762,8164052.568,7552165.154,6605282.466,8259566.173,8337898.384,9959438.196,7367302.743,6866816.896,6861319.262,6960171.474,6953664.103,6978523.916,6996345.808
224.1891,4.85,9072389.755,9192148.655,9130771.106,8502464.221,8331077.055,8698345.809,8614201.248,8515476.734,8301162.957,8560928.821,8389507.794,8435095.446,8488787.351,8303896.354,8286123.413,8667835.799,8964612.964,8764882.383,8855506.582,8254294.658,8904078.551,8358216.777,8255469.759,9281791.173,8489527.461,8640866.985,8755104.314,8688505.317,8900595.954,8946617.851,7932325.789,8707548.487,8555063.611,8490121.724,8336455.258,8936582.832,9326581.151,9435866.253,8670202.903
