Mass,RT,Blank01,Blank02,Blank03,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
337.0674,1.07,,,,,,36947.9576,,,,273340.9567,167007.5949,,161176.1286,104731.4497,,63301.12888,,104791.3428,,,,,,196466.2594,131706.2338,167900.1762,155995.7932,101746.75,,67905.17073,,130468.0898,,,90185.99401,,99181.49492,96594.61972,
199.0841,1.42,,,,73181.27262,136516.3147,77289.80716,84217.5888,87642.90187,68095.42555,71376.76892,68817.15156,96717.6147,76232.99485,42287.64393,33014.76839,36238.64024,25632.60178,,224424.2407,164745.4403,165802.2192,196530.4535,201777.7242,80922.43198,77102.94115,57356.89981,73342.46526,67440.45026,38690.80072,55653.89097,56567.36373,49772.79663,41268.54357,88802.39087,86916.08619,83693.00903,83229.93992,81678.51885,81427.99999
232.1059,0.86,1163.679761,1798.384692,1417.607085,137828.6479,216974.1189,155144.1175,169523.7408,125684.6347,91994.44694,95706.65766,92703.96155,146695.1112,105298.9715,94743.92252,76161.80578,79935.6727,60426.99597,86113.78371,166543.0293,173822.8233,199983.9446,140827.7611,174388.2924,88968.1634,81425.72406,88939.66751,115863.1176,70169.90123,70558.82529,73682.69106,81552.86326,85168.67093,87797.45516,116238.3679,117010.9074,108361.8328,107818.3231,115132.7916,122452.1685
839.3574,4.9,,,,13296.94217,,,,,,,,,,201332.0799,,,,,,75570.06126,40657.46823,86425.2001,26452.65314,,,120150.0297,,16991.78249,,112418.592,223912.1209,,54804.23705,,,16472.93869,,,
208.0661,4.86,,,,,,,,,67514.30937,,,76817.88405,34106.12444,183029.9793,48269.53426,86406.57368,,110284.8576,,,,,,,,115115.6468,111811.6678,66361.31693,101125.611,207805.6281,114004.2461,258223.9501,144615.8068,62580.14464,,74828.27964,77290.06392,,
400.2424,2.15,,,,31435.54664,57724.67265,32797.35046,,42061.65713,165628.1878,191545.3013,153934.3101,158380.4944,155324.7838,156259.4465,112804.62,112130.2154,68480.94504,130130.198,53039.76032,43708.25504,35857.37561,,,76213.85395,106107.2153,83437.6374,101871.9656,93454.33039,69893.63315,89316.68303,94772.30072,119123.7381,78120.62512,95282.34735,90597.36314,91373.60924,94376.43189,93837.06295,96155.23381
100.0528,0.45,72572.75264,,156126.2793,,,,,,,,,,,,,,,,,,,,,,,,,,179666.1681,,,,,,,,,,
317.2785,4.9,,,156873.8129,219399.5283,238994.5616,,,,227897.5332,170016.8896,,,,,238548.762,,,,,224005.2476,,197923.607,225423.3479,,,172912.5242,,,241654.4681,,,,,247968.8421,239168.9541,199748.3733,,,
444.1756,1.34,,,,17026.23455,42447.32918,13069.89802,,31432.71956,171577.6158,62253.51358,80726.58368,76819.34799,98849.81828,184995.5701,191058.6959,93034.50415,86734.35787,164267.7628,11690.78997,11014.234,12692.49169,10091.70191,20030.65377,45996.89991,40714.93301,39565.60284,46168.47227,45047.46785,81373.708,138850.0505,124620.8059,152178.1325,98620.41387,152918.3616,149081.0884,100949.5617,71703.57285,65208.28018,64651.78234
114.0428,0.56,,,,124772.6888,184864.8579,,,,166356.8418,237485.3419,154362.144,242418.2798,189630.2187,139517.5636,226371.6901,162506.9463,134887.1675,224068.7767,186832.3435,120578.2277,,153234.8667,155155.1953,155066.0117,161615.0866,,121041.0899,86645.14915,,,,93756.95215,,144161.4232,,,169968.3209,170016.6667,152084.7857
266.0778,3.59,,,216629.3311,,,93051.14088,,,,,,,123904.2419,,219036.748,,117627.1336,143745.2935,,192827.5583,130666.8148,162897.2257,,,215340.5933,248424.3307,,134404.6829,221742.5489,,,,,,169623.0631,,,,
279.1468,2.4,,,,26461.2114,,,,,,33021.15479,,,36274.37278,,64624.55124,,,,22799.53671,,20673.10126,,,25901.83162,,,,20462.28331,77462.94105,141204.8535,,,86245.44758,,,,,58515.39477,
94.017,1.78,,,,,242273.7266,,173970.376,164185.9617,372215.9534,,,,,,,,,136283.0188,,,,,,,204581.0769,,254953.607,179381.6626,,,,204085.8597,,,,,,,153329.0203
241.0925,3.81,,,,,43952.60868,,,,,,,,,,31803.47485,,,,,45918.93743,,,59998.50231,43451.63282,,23552.03724,,43444.9057,60286.7776,50548.17492,82162.1464,,62417.69567,35992.53786,41886.73949,36743.75493,36976.29335,31833.03233,
310.2106,4.91,,22857.75436,,,35625.06428,32649.36607,,17046.27755,54633.4721,,42609.80014,72728.49008,58610.10722,391917.407,,,223142.6975,322917.4356,62255.93169,,,,,,,75388.24388,,,84591.0877,127825.9117,,,,59507.87805,48315.88469,57157.25081,61902.34108,61239.47491,
164.0684,1.4,112424.1484,130216.101,108363.7362,,,144370.5358,122009.0277,212934.2267,159438.4173,,106018.8808,116841.248,106981.7088,173651.1055,93650.74518,170096.7173,129747.3038,109641.2895,183482.753,82621.26096,150156.8993,,110969.8627,,145546.0752,,,163887.5554,,,202038.6622,,227150.4431,122838.2277,,149667.375,,,
439.1948,4.38,,,,,,,,,70630.75542,222224.1204,,70826.22819,83007.18715,112638.9086,,18041.40021,,,,,,,,,,41312.05717,36176.83451,,,18165.07791,46083.47635,77264.74134,30469.26299,,23150.30978,,,42301.50958,28213.35539
361.9919,0.5,,,,100282.1294,184321.1886,88767.87383,120777.0237,93799.75214,191070.4784,192143.2328,181270.6623,192922.7517,151950.8205,159230.719,140320.8003,119602.0288,87202.92242,143994.6193,146567.4109,164074.6337,131104.6248,166775.0854,170232.976,135666.2444,159846.0436,134457.6077,152396.8633,149878.5941,130417.3726,151217.2442,158011.5891,189227.2885,123683.8501,168458.1357,167055.3642,133044.9507,126710.5161,126028.504,141393.2448
308.1967,4.61,103367.9772,40560.9609,109727.5341,16672.05613,72209.76628,144862.5638,19184.33173,87616.51703,45504.69582,58810.61926,42083.42234,59966.12823,173311.8195,52800.00622,140375.4863,129963.9603,18369.46645,144182.6698,25605.95997,156641.5467,15234.98574,44225.95919,56801.64619,13987.2356,14351.60711,37590.50764,16279.33422,34329.98287,56094.64526,163925.1779,49158.69732,40967.35049,34050.82885,21395.33292,29087.57505,21263.46483,46346.5467,69526.309,48217.11412
634.094,1.27,,,,104816.299,173618.8221,171860.5478,140331.3859,150097.5106,222632.5927,173989.6759,142212.9097,194075.3669,179286.1565,136179.6307,99560.57926,78039.20211,59984.95339,116350.2796,40745.88859,33960.04068,32548.7924,59675.26562,,132408.3359,112598.0689,111678.3451,125406.3966,109825.1361,72438.82042,81099.3958,41265.37595,136136.8206,58374.29983,118318.379,120140.2509,114482.5881,115253.9622,110134.3256,111916.8919
307.1769,3.62,,,,,,,,,,,,,,,,,,,100359.8852,95234.60293,110451.505,83383.45939,,114756.9467,154870.8772,115921.2682,140727.1652,128572.3987,133461.7439,165129.201,190388.1024,200506.5298,144152.9652,,,,70462.11931,62697.48588,
286.0439,4.02,,,,181957.0335,179998.8972,155404.5678,,192591.4335,,130435.7224,,,149197.8455,145513.6064,,,,,,206340.8845,,194415.8337,185145.9221,,161293.8188,,,,,,193623.4123,,139845.0706,142241.6724,,159261.1563,,,
378.1197,0.73,,,,,86364.23865,,,25545.11409,,132415.8696,198760.3765,,,,,,,,50697.88727,60698.04304,71314.59168,,,,,,45811.91025,,,,18601.09515,,,,,,,,
183.0894,1.86,,,,72413.53126,137194.3886,91515.71708,95483.11949,101116.801,177989.3048,193336.1786,147115.6191,195396.4961,179017.2271,120769.1649,118298.4862,94404.23917,70956.61638,108226.0743,195181.6198,159336.5007,167672.0859,177452.2298,207158.0641,147724.172,182933.2312,149584.067,213429.8672,183659.137,146682.7866,150992.3234,142470.6139,189631.4976,142560.79,157137.9276,145952.713,152326.6867,154843.7872,155599.0653,153318.1318
427.2178,4.43,40952.64822,,56028.40172,76091.67927,,56825.06232,,,63440.49455,101342.4871,,,,,,,,,,,,,,,62101.43409,,,,,,,,,,,36704.80269,,,
368.0062,1.35,,,,128270.948,139482.226,133357.1757,146932.2184,148938.4741,177996.8015,180903.2594,150371.2339,188188.9775,198351.5112,204063.6613,124982.8593,106745.0603,125429.9523,163366.9193,130396.1328,102975.6123,85702.64512,141537.3488,200243.3024,114272.474,81235.49325,73716.05947,61943.29464,68361.92037,49822.94914,81740.14445,97207.37811,130632.436,84417.2222,109310.8128,115205.4525,142275.5158,154891.8647,156180.5629,161893.2368
210.1614,4.77,1702312.353,1765232.06,1772535.028,2096251.634,1980150.732,2037624.443,2044004.667,1921213.643,1945651.073,1686632.81,1849679.685,2061365.798,1768742.548,,1952326.39,1880568.843,1875066.045,1859967.159,2023802.089,2064631.686,1973829.027,2033549.104,1801559.212,2215795.276,1880244.484,1963693.595,1973786.109,1901931.958,2078139.746,2064604.248,2260552.614,2064126.217,1876341.237,1976031.408,2076179.61,1928016.703,1868312.345,1919024.003,1842822.836
244.0515,1.71,,,,,54029.50981,118945.6233,141346.7575,,98224.57633,30207.04065,,217350.5609,68917.22468,,,,,35023.96105,55054.88117,,,115262.7023,,92359.86863,100293.8281,,66701.05836,85918.60324,167984.0945,70302.49326,155563.9908,113950.6383,63984.42487,93716.35351,87865.40577,80420.78025,73844.07777,75718.74581,70287.80045
449.1097,1.25,,,,30242.97313,73825.07089,30637.79016,81925.10374,45451.15863,70582.00115,118134.8132,93559.08231,127851.1777,88937.80439,72985.54782,,58160.04361,30405.63688,72672.79161,56641.88718,50762.87331,86791.49334,,,74937.40877,56581.03998,91248.70685,106721.2181,67813.79313,77499.96448,195744.1769,95838.49012,161151.2327,68095.67285,74097.71239,72655.26191,75402.35372,79397.16377,81304.84566,85128.37991
607.0816,0.45,,,,167096.3903,229427.904,118380.5741,176192.8979,177523.8654,201910.3558,223825.5982,170617.2442,213432.2965,203463.481,202124.6988,168557.2941,200868.6084,168965.4767,207556.0344,233406.6172,176694.9015,220067.1763,231242.8842,224931.5242,246775.7747,181965.6259,196785.782,197372.0016,177558.6236,167953.6962,189412.504,170731.3199,210450.7156,219031.3477,202216.0713,198423.709,193161.4855,199543.0858,217819.9781,200560.4858
355.112,1.49,,,,,43549.92327,250585.2457,,,80529.7886,93530.64251,91079.68816,75717.38812,154854.518,53749.11243,,,218400.7101,65863.85523,80450.26586,42529.07738,17517.25882,,,82247.03078,,251206.2732,42687.47513,26031.10733,17235.08237,85628.20678,40903.40935,100762.8902,35914.36164,55526.36334,74047.25521,61026.03658,58897.57893,,74378.29652
322.1335,3.06,,,,,,,,,84202.45052,133044.7664,40631.03253,240470.393,240394.2295,345887.4641,132795.7562,96663.91829,85086.36529,110291.8092,,,,,,,,58928.36721,91638.38524,27064.19414,69096.08779,,143004.5477,222183.2246,82022.0068,84564.65067,,75550.84896,75856.29986,76667.67951,79911.22996
168.1147,3.41,,,,65448.7109,92269.8274,66099.48438,68300.10842,72962.63395,181976.4519,166592.3954,115139.6841,144230.2928,168631.3838,58645.55037,,,37411.11062,39655.62333,83969.2839,79007.41303,101763.1398,92351.01591,131182.0013,183297.3124,197825.5133,116357.9318,144254.2053,122829.4514,30178.8026,28332.83733,,57838.65143,37643.29228,89474.72004,92701.26078,88980.97492,89410.86332,98210.24912,93174.78954
186.0892,2.3,269150.4422,240007.907,237491.0932,135014.441,154990.0525,133229.4615,159488.0354,167221.3111,213818.601,,,111738.2184,197736.7551,,,,152648.4625,139238.0343,153871.5354,129633.6055,133209.0254,117952.7216,136305.981,120575.4509,119265.8626,168383.9723,,120285.2715,133764.5348,189949.6859,148643.1251,205020.368,98421.30789,125674.8249,103862.0812,156509.0559,162333.6261,153041.4779,176885.143
618.1138,0.93,,,,88517.97604,109448.5924,51257.47757,,106828.4139,168878.9891,215707.4538,214946.948,166688.9266,175671.4128,163906.6191,,84608.97183,75403.47921,,66401.23932,53276.49588,80335.6247,,80904.64859,90427.02822,80659.81266,89671.64488,,,74938.59547,151310.5073,110972.5073,228696.8757,,115392.1784,107952.8887,105650.9715,111887.0129,115846.6123,116148.9251
376.1382,2.93,14874.6849,,,59944.05335,,85171.63159,92502.16334,82446.73849,127862.136,166008.15,155097.9121,179817.3065,197317.6703,,99178.81645,99085.91543,67284.99604,119658.0784,98997.5965,78764.4598,72901.1654,83006.63375,100201.9154,121266.9824,109883.8658,86644.84535,100212.9832,96678.89457,87062.28115,114991.3217,108563.0943,202609.2045,136031.8834,104227.3332,127556.729,112522.0974,115045.7924,141596.3218,129087.5699
226.095,1.73,,,,92362.0124,157826.2014,103068.8763,126191.0593,118676.3628,156693.7098,163657.0981,137733.9693,206455.8535,186420.196,136926.0389,111609.9193,107427.5879,78448.34389,122804.2105,135522.0138,112538.1938,120231.707,136312.6397,168357.4356,170208.4111,137135.1723,106744.7996,116073.6982,110025.2639,85827.21118,112988.8227,101519.4922,162125.8372,102647.2017,129706.4223,126943.0922,129777.2229,130799.318,134908.2779,129929.5122
201.0786,2.69,,,,93225.81345,156736.4429,124649.0243,104566.4417,,15705.63391,39456.73351,37783.74931,14660.63163,37015.72344,121940.9706,54978.57249,90411.42752,,64820.71968,,137546.243,129093.2071,111905.2503,195020.9703,166260.0995,264569.5148,61231.62272,35497.03572,52527.37129,96631.41122,78711.64276,84518.50727,50887.26049,82036.33485,83286.03325,91683.96444,85202.72619,81355.60469,115653.5558,101318.4273
391.1405,2,,,,,60727.8378,20836.11099,,,31274.99284,,,,43640.04478,56875.58818,8835.219113,,12030.46908,,181494.4532,,74960.00283,,,119483.5719,,,,,,,,,,29765.14029,,31347.34537,,34416.256,
442.9943,0.65,,,,,83699.05582,95701.15002,,,168742.1309,147118.7464,76915.69251,149251.9148,113665.7441,213624.2647,,124567.9873,210962.9563,164824.6506,,,,,220257.1579,59836.87451,35451.85077,,,,56648.47092,,,73302.47727,,,88173.84634,105202.0338,114278.6121,,
126.005,3.94,,,,,,,,,103818.444,95324.44828,63785.36851,170399.7903,76272.19232,96607.01191,113191.2334,38660.12719,85862.86778,90362.217,,,,,,,,148239.0123,131619.6381,94166.00577,62575.26863,93842.69181,74670.03472,196531.5253,80704.11749,60830.60217,60308.40789,60357.22434,63641.23769,63166.57133,64070.06763
858.1622,1.35,,,,62117.90866,95947.24252,66776.49499,83957.72233,102135.6493,153118.7056,143671.5114,96706.54019,184236.0568,203959.007,190033.3152,75365.51339,37912.53827,53219.25243,117214.0867,57014.39414,31200.40122,23696.70777,85544.33869,201905.0987,40263.36403,20808.82211,11895.46601,,9807.122504,7174.393019,17249.20064,27492.66971,62958.53626,19739.4928,64992.08529,65540.50557,86084.31922,97061.01603,95174.58531,98645.91489
364.0981,0.43,185049.8229,109402.984,195867.1474,39715.30363,35706.44543,41550.44289,33992.52704,39424.21986,107631.7801,65628.58969,64022.47129,51212.33448,77209.93025,95848.61071,65526.75752,55458.27284,,76161.26284,30681.26231,17840.32644,,50483.30326,89853.41327,82426.35282,45423.26809,54249.94371,43708.14662,57213.73663,99280.35309,49236.31476,62492.82812,66769.76721,63226.49899,59593.19374,61049.46935,60208.67654,58602.09514,63955.93772,60696.47406
231.1832,4.63,292667.3668,235572.1674,227707.217,241603.1051,298173.5976,273650.6669,237928.9258,219943.3759,186264.9774,191483.8318,222628.624,260594.0096,,232216.4248,304835.3324,183609.2352,270424.1907,202970.9129,162809.4151,214109.7345,251085.5479,233042.5232,189180.7424,203021.0161,186434.5656,185122.4556,265568.5285,258794.6633,204375.125,243376.2049,158256.5895,251923.3535,240630.7402,259577.8136,290191.9778,271994.0938,296453.7366,200851.6719,342886.5682
560.0931,2.72,,,,,,,,,44485.34297,32363.85243,24700.8446,43694.65844,27095.46729,169404.9022,99919.11775,79911.44257,99323.0213,107622.2518,,,,,,,,50950.32436,34972.52854,41470.96172,70504.64652,117512.4845,89602.77305,151597.3331,82704.75636,54837.73163,52901.60274,68186.41541,65162.02425,63674.12106,62351.84905
230.0904,0.52,,,,156263.3316,179127.3709,150700.1935,158698.9231,103501.0444,165311.4086,180141.7458,190632.9418,184286.977,178260.7401,151053.3526,174771.4292,156395.6664,168882.549,146762.9128,138001.5569,139999.0775,156326.1403,128800.6342,143881.9596,136736.6442,168709.0783,145963.7441,154664.0765,120013.0065,105541.4853,98683.6297,112913.3192,134826.6092,82186.89896,140647.862,139595.4153,127643.7047,141307.9751,137636.0574,140293.259
202.0568,3.61,,,,,,147690.0351,,,,,,,,,,,,,,,,,122194.3961,,,124651.2102,,,163968.3322,,136219.718,,146103.111,149187.9123,,,,,
303.2044,3.28,,,,88490.92856,194910.7291,110523.1846,131404.9357,116468.8866,161595.6911,172114.2383,131384.4755,142420.243,157941.1722,171041.3734,104591.5009,117831.8298,74700.62817,167426.411,130334.9652,104543.0903,114079.8853,109154.9486,120141.2192,169223.8653,189672.7133,117176.864,132916.5597,147059.7149,143367.312,101432.228,144292.6786,171171.7731,129827.4071,138486.2569,140373.6778,132022.1123,135374.5277,131301.0435,136067.3561
159.0913,2.21,,,,,58057.68297,,52084.73663,41072.30307,81777.31041,198409.9922,76071.48323,205518.504,141371.8388,67592.53807,173954.3875,67857.04403,,,59377.43825,,,,83237.96449,119925.3209,110186.9049,74904.20208,,,83429.23583,,,88560.27535,,,83588.98558,97342.00132,91695.24758,85793.83406,89266.78734
222.1243,4.78,226005.2263,248662.6461,236516.0706,134879.4758,175266.1884,173319.6232,215085.7939,191104.0086,217831.8629,249901.8089,220227.5757,204781.268,249596.4242,253536.0292,240696.2275,135628.3427,254626.3869,246709.7119,230819.2771,203969.8346,219774.7396,248552.3926,251991.39,230980.5261,230261.4198,193282.7866,235590.3994,228814.5169,196188.0662,265415.9276,250381.4466,237040.2559,235202.2964,169345.5057,248041.4502,,244286.7105,152612.4466,232292.0462
564.5961,3.34,,,,,,31185.67799,31655.1785,33891.68217,,161222.1006,54719.5543,112824.6711,112551.9662,205173.5481,,68017.67441,108542.0128,107807.6575,24899.66813,,20195.18234,28573.13556,,53392.63965,68156.76135,63111.16287,54240.89886,68607.38778,,64610.12208,,146046.3698,56199.16332,,,59418.6867,65648.99112,72887.53468,74167.37136
289.1151,1.86,,,,84718.38721,137030.3037,102245.136,124860.3277,92264.52286,160153.0609,166051.1805,137470.4721,180634.397,155233.3889,97923.71208,116440.6202,120495.8789,82896.40309,124816.2041,162116.7279,150592.3703,163056.3189,158406.8933,195587.2561,154357.1253,168676.9867,160056.1382,179999.8302,180270.3753,131748.5455,151893.8776,,,132308.3874,156677.111,150784.1329,153898.0504,160710.1842,137225.293,143950.217
273.1576,1.67,,,,96794.35002,207512.8117,123646.7686,139960.3367,148803.5959,171723.9817,152118.9289,124083.0791,157821.0473,142762.6904,145641.8392,133000.6882,127646.4006,84982.43116,158929.6366,89951.12233,78480.17859,87075.46233,86522.50527,,87191.84549,105832.9934,112658.9688,125109.8118,116003.6149,131418.7145,123495.6475,120417.0657,195864.4334,116172.3752,128275.9478,131791.809,124230.7206,125126.304,129930.3455,126445.3049
191.0583,2.27,,,,35030.1376,41380.30306,34125.25084,28498.51236,36847.14369,49343.00965,51636.25927,30236.12011,55448.49082,56351.03607,162775.7546,60802.6278,43674.52738,34620.28081,98645.92711,44946.69421,42519.19323,40441.08164,43791.76682,199681.8789,52690.54339,62016.70999,53640.8329,66970.63961,52504.29599,59931.63876,81838.21545,98422.02071,193487.6887,85233.49374,64288.24537,64900.30997,70423.81702,77066.98506,70165.86425,67197.96257
289.84,0.34,,,,150044.5886,208617.8066,207128.282,195847.9382,118799.4943,154695.3388,193747.0145,173699.7012,163056.3342,159258.3114,121246.887,150006.2682,175899.9938,194691.7294,127672.3806,189863.689,203217.8553,210707.061,101322.9595,162026.2995,72383.66697,143038.8309,162650.9654,165209.284,139173.0248,76322.54754,86200.22442,112270.8025,93095.53757,,126754.3965,131773.8273,133114.3492,139956.9722,137554.2163,149860.7249
219.0387,3.28,206302.1609,197570.5447,209978.7212,211760.0308,195017.8394,203096.0799,200028.9472,196336.4889,193425.1078,195859.6069,186677.9263,187360.1618,181190.846,188740.255,188834.3618,187539.4372,212985.5946,189856.6589,197748.7835,194481.7825,204935.5953,186377.6637,198625.994,203353.7195,198899.4842,187710.5348,205957.9571,194301.3918,210086.687,202742.7955,181696.2424,186382.5086,195768.0111,187874.8389,197692.6317,199971.1307,201087.2357,201797.7058,194762.6181
668.0702,1.1,,,,197135.458,208577.7309,210875.0279,225477.5774,208677.3989,212211.5884,285518.7539,225495.1333,232445.1394,227800.7316,285770.0898,216299.1269,291414.4033,275633.5228,262517.5717,262917.8255,211912.5058,270416.8788,175557.1571,220924.8395,242592.2479,228113.9383,277048.8642,278506.398,237885.0714,193680.7225,221693.2584,229565.3414,268449.3047,261234.7049,179690.1992,181182.2437,220572.0934,247643.7546,266411.0091,278052.617
349.0938,1.44,,,,29342.69287,188950.756,45915.67584,42572.71154,69154.19051,88068.53019,133070.5864,23951.69294,96522.71453,167907.8961,193482.4971,119594.2791,141287.2513,95034.64474,158395.3683,93059.42094,73275.15473,80745.91816,27593.74202,72522.49624,115266.2506,83989.53562,69977.89532,68284.01746,85012.62753,44800.19681,70641.65493,62189.49094,149049.8621,124466.0427,90900.47764,98419.50131,96100.26308,95914.95847,99681.99258,95990.50785
188.1522,0.37,,,,,39847.28505,89419.692,120509.2363,164589.432,72330.97982,64419.27065,89277.23663,95910.82983,84300.16346,54585.80563,47254.99565,61338.18043,80808.73538,64162.4437,122063.2426,81609.92293,142859.1155,193275.6779,104401.6302,89900.39548,48479.1521,91471.52908,107965.3123,72908.11495,99854.0993,60917.41933,85407.81869,49092.64337,70343.36325,63063.32356,96052.7681,89562.5572,87274.1007,89731.98961,90824.23384
542.1787,1.29,,,,23361.59171,96776.64451,55754.70315,45689.40857,37301.67829,96654.18384,97230.91056,127457.1701,173872.4702,175213.4185,68249.22948,51613.30255,24615.91258,,45828.43675,35543.97801,32341.38155,23067.89554,,,72580.46218,80704.67338,30794.8398,50636.76704,57158.84226,54266.32592,92128.93865,70426.2108,147046.4443,53927.12232,67256.68993,66382.24448,62716.07992,64610.53828,67212.62641,62392.23804
188.0329,0.47,,,,140222.8349,110281.752,179410.8956,156127.3423,108867.5527,134526.8861,82874.77658,73092.55356,135995.5364,103861.8653,101752.7548,135891.4288,164263.7348,150334.2365,122983.7119,179546.0594,190019.9038,179027.8714,237702.5419,190612.8857,142018.1894,129144.9121,93095.95419,133260.0314,151874.2039,201105.4514,157601.1761,175221.1068,104183.4772,123499.6799,146363.0362,130419.5185,155313.1223,135342.0002,150576.9264,138670.2662
415.1228,2.99,,,,,,,,,88805.2796,,,,89450.06526,113734.9202,29131.18924,,,,,,,,,,,59271.95972,90025.38085,49016.32087,,,,199382.7179,76336.42684,57980.35092,53653.19552,51054.34685,56633.81596,,53392.09167
155.0692,0.38,10192.28739,,44175.47801,230049.2014,285708.8782,,209020.1386,,,183121.6879,,199997.7745,,,142036.1314,,,,200717.1915,232082.3041,,123831.1878,233334.5608,159755.296,176973.5529,118683.2637,102837.0664,,,99966.06949,137697.9391,119142.6158,,177705.2545,175888.0172,158978.7478,153633.6131,145269.846,144992.8129
196.0466,1.8,,,,,,,,,62014.32989,,,,15590.09659,1005600.237,72985.50588,173673.8891,111599.5945,107266.5406,,,,,,,,24423.18358,20160.68341,25066.40931,57861.54018,116802.3298,73573.52227,188392.8383,64326.89881,93408.64329,97068.96593,100710.1083,100884.5728,103420.9158,101048.9631
146.0396,1.44,,,,,99135.77202,,,,,,,124504.3801,,,,,,94490.6802,,94565.29802,,100664.6272,106150.5988,,157928.6218,,,,169141.0643,209746.8907,202905.6849,214991.8872,166991.6944,114270.6791,114395.7241,,,,
423.2179,2.62,172577.9415,175432.3643,171202.3614,136734.8816,138709.8788,145529.1363,149488.1727,141687.5078,143900.6959,145285.0441,159567.6299,141544.6799,165060.3672,139240.4524,141518.46,149315.2102,152093.4389,154341.0129,154783.6213,147467.9138,162764.8103,154195.9858,149386.3884,157727.789,155860.1788,155897.2469,155872.7598,151569.659,153494.7835,144927.0185,141586.4633,152740.0645,147792.7339,149546.2039,150120.1697,148581.9089,148419.5326,152830.8137,156045.4005
228.0603,4.76,,,184213.8025,172415.0077,232240.075,,198585.4328,182616.6876,207924.3575,,206606.9538,,202360.5392,,200746.5399,,,211367.308,,,199068.6759,210347.5631,214890.0874,,189021.7599,,214943.1124,203725.4987,235318.6362,,187811.45,185729.6915,,208498.5119,210181.8095,226716.2949,,,
235.9981,0.45,75144.44162,39991.29645,198712.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.178,2.99,,,,,,,,,,,,,,,,,,,120020.8965,114777.1609,135131.569,136530.5156,148691.6133,123946.8708,160077.7181,61631.37751,101024.9616,88109.97661,90113.82257,126787.8472,121465.356,170166.4664,102604.6277,54622.72595,59621.46497,59719.6715,56180.17548,59275.77701,63362.94553
140.0586,0.52,9224.677527,11564.58166,16208.0824,451346.7228,172673.2598,516032.7176,171681.7985,93357.18418,334043.5376,121596.3643,354926.5522,172168.2565,106996.4384,163202.259,391949.2722,396884.4436,160330.0278,146311.5769,199438.9229,663545.9586,153815.2125,524552.5252,533491.9444,149087.2623,285370.4896,424134.927,190492.6939,392359.0699,297368.5171,116622.9874,151182.899,106299.2681,167329.2505,378752.607,171586.9942,401171.5815,166785.8742,380586.4123,166321.6336
208.0487,4.15,,14718.73233,,,,,,,32708.70277,20092.43413,123636.6073,34386.85903,18046.91993,164645.9451,67432.09364,40522.36324,86844.82693,60445.73857,,,,,,,,32583.8038,28754.80544,23064.81205,55386.68701,83779.2425,55283.47204,135763.1954,55176.14771,39899.07304,38452.42005,32515.03801,32943.9325,,29595.49113
145.0202,0.5,,,,,,,,,168742.05,202311.1908,228403.78,130038.7658,,,,,146427.0192,192367.0285,,,223300.9692,,,,,,,,,,,,140381.0431,,,,,,
420.3103,4.86,,,,82370.28869,47634.12249,,43214.8433,,42392.56708,55315.94951,56798.994,81164.43043,70625.24357,,,,,,76900.53142,40335.82327,,,,54077.12794,,44850.9458,,,218573.5019,114820.6931,43788.23417,30386.49254,,,,50390.95405,41105.70106,41119.19543,41870.26356
260.1051,1.86,51060.05833,85734.53443,71206.50854,112393.8405,,,,160160.3682,61881.66238,34705.20545,,,,,56308.71559,36201.146,,,149329.4472,22967.25438,,,51882.31261,,,41926.57892,,55558.04474,95051.16951,27671.09183,86667.30167,195142.4342,39686.15035,,,,,63957.4312,68064.41435
264.1322,0.42,50988.984,192007.4663,30210.49911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.0471,3.77,,,,,,,,,57414.59883,26432.5567,18003.96917,52989.39486,16937.249,185807.0768,65602.47958,38415.1473,52815.95809,34966.70368,,,,,,,,57145.55673,25681.0574,20660.52977,34730.637,35909.75483,,88683.00228,26615.33375,29020.28142,51129.17883,28553.57037,23816.20283,25224.93428,29588.15335
168.0782,2.07,,,,96181.96166,106385.3027,64468.95688,92208.14092,120613.532,149533.8842,182051.527,157475.9752,185255.1489,222359.8207,81711.32825,128461.7608,124814.8396,,110786.9368,109349.1966,86915.25816,130208.6708,,91230.91802,149810.2321,149521.9053,87957.54258,138793.3239,128162.6859,135259.8641,160769.6011,161191.2385,184979.7144,190201.0767,161221.7935,94833.97692,77038.02353,146741.515,191541.0697,136028.4302
653.1791,1.27,,,,42713.31089,136742.745,58141.78578,76372.1739,68761.99692,168134.0743,148970.1924,87037.03227,169881.23,151203.2614,162759.6853,84795.09257,107386.4461,87873.47455,134537.706,84480.4901,85549.14607,84150.48792,27940.73945,69361.10198,94923.10848,93918.56975,102101.5333,93284.35069,103382.1396,78661.88909,95774.91012,105620.808,183617.3865,93589.17289,98221.72421,103675.1106,107982.0983,103330.9533,110784.4105,110331.084
