mass_Rt,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
68.0624_0.98,6656115.12,9567140.021,7225522.339,7946449.815,6706008.645,6516427.099,23512851.37,,23155317.25,25010084.1,6816498.417,6669058.676,5536041.901,5351376.148,7708486.813,,7133242.021,9568513.479,7786001.002,9568384.888,9481331.587,8691662.757,5962257.786,5742083.067,5070229.904,5010402.814,7494797.17,7109201.022,9862213.29,7910890.989,7527840.528,7368195.67,7562373.819,8255500.167,8777804.722,8857826.694
147.0534_0.4,8134460.894,11092663.86,10310184.25,9250521.042,7083711.761,7723675.052,7176647.035,8718353.313,7685433.774,8730034.064,5981700.905,5926724.064,6796252.838,7311207.277,6506328.719,10196527.39,10768997.84,10515722.78,8710672.747,9070618.469,7768790.384,8996835.155,6063330.917,6638023.894,6152596.018,4669140.197,5177869.056,5175283.194,6112322.837,3356768.928,7591018.829,7673912.37,7425019.373,7363680.2,7193956.517,7455040.434
363.0588_0.68,4570799.054,6832238.203,4221580.783,4928342.304,3074960.94,8082453.47,9206734.5,8587871.417,9305290.572,8042672.26,8009136.476,5514537.558,7830477.202,5849984.599,8534378.306,6690854.414,6343296.328,5177765.814,5326849.228,7509278.211,8235868.567,8783013.371,7160144.762,8164052.568,7552165.154,6605282.466,8259566.173,8337898.384,9959438.196,7367302.743,6866816.896,6861319.262,6960171.474,6953664.103,6978523.916,6996345.808
253.0872_1.89,,,,,,1241475.721,610989.429,539935.186,1261318.025,666570.2397,9690509.9,1606197.749,880773.8347,2157369.595,2085258.927,,,,,,,,996081.2599,838898.9875,1138328.41,1422399.796,2525593.329,1828914.221,3702155.094,1566315.176,1219566.423,1203787.971,1208706.452,1221306.541,1213895.18,1205825.271
178.0555_2.73,,,,,,8464755.896,8472303.019,8020159.081,9672597.335,8779314.984,7172500.587,7732260.301,6084704.805,6749315.174,7730865.641,,,,,,,,7822500.302,8838111.935,8360051.687,7602240.813,8152653.416,8155667.076,9732977.077,8076945.151,6748927.777,6858876.105,6748698.928,6912348.633,7009663.757,7009070.891
257.1032_0.39,2146403.152,2502774.976,2230535.993,2408845.689,1834419.938,5805046.136,5500561.397,5187181.0,4953292.743,4384752.634,10623942.74,9424733.156,8921431.707,7780526.405,9268318.411,2522928.785,1605778.569,2175733.545,2046417.197,836504.1245,4283391.632,5792071.24,5626530.565,3665260.873,5113032.538,8648233.269,9455414.633,11152266.86,8759665.455,7142388.977,6116209.493,6101132.892,5704625.162,5677644.813,5544928.695,5783305.218
247.1428_0.97,3594499.582,7738277.531,4734054.333,6323319.774,4796389.204,10138526.49,12250437.38,6984291.333,12221942.37,9262196.027,4205165.246,3139184.194,2959569.499,1299140.167,4298378.116,4389439.046,3679613.966,4337683.93,4631788.781,5133168.42,4952476.467,6121588.581,5184086.26,5418852.319,5616141.41,5063570.675,3457049.553,3189530.399,5579347.716,4609171.59,5764466.424,5796393.407,5597863.338,5500672.946,5369113.292,5578329.821
287.2117_3.92,1171228.495,1442765.307,631050.6036,1159555.3,928742.2207,349127.3518,689198.2307,915988.7914,617597.9003,757212.6405,310419.6799,336347.5636,223653.7135,168449.5682,242985.3663,4255186.324,3671144.088,4229615.529,4465135.309,4318754.063,4440496.088,5519472.311,3820559.822,4820207.198,4405600.552,4547018.752,5281974.978,5876376.153,6920971.303,4483515.377,2520159.325,2523897.428,2472390.57,2494285.269,2494457.328,2541562.306
71.074_0.53,3759565.134,5667448.888,4128691.355,4020435.041,3996901.003,5757802.412,6670114.749,5937998.153,6077026.946,7340407.381,3844474.693,3947819.224,3009065.98,3236243.435,4215887.837,4788245.673,4374397.406,4811847.975,4034406.695,6488631.823,5805604.317,4989598.934,3770307.13,3738520.845,3519637.462,3406859.128,5097047.331,4609609.595,5422050.899,4764528.833,4705227.174,4749852.907,4838464.203,4846636.951,4920990.596,5002533.842
297.09_2.19,1163984.566,2956888.56,1223189.113,2292796.556,1661972.182,3711434.381,2726515.438,2696396.259,4689676.365,2838579.548,2746174.001,1749484.243,2309305.786,1643304.672,2935800.922,2636759.36,1885291.911,1901959.293,1506265.077,2443083.327,3311874.115,2485864.467,2111138.114,2515954.681,3002412.721,4192332.167,3819767.279,5160097.954,6204274.942,4228153.679,2681820.311,2703231.034,2845533.606,2934945.556,3018556.807,2951026.039
136.0391_0.66,2026109.283,2413202.808,1764163.53,1362099.743,1838064.864,5390582.864,4059291.507,1726906.992,4690533.076,2911643.385,6832633.922,2094780.657,2834603.703,4930887.619,4503853.089,2105329.705,969478.257,2056556.574,3388082.225,6896899.484,1273238.289,778574.0048,2775828.423,1766966.596,1194457.999,1270889.465,,,,,2704983.424,2710125.106,2690483.932,2785154.141,2819856.988,2950536.086
135.007_0.92,1284782.76,2947156.309,1213811.193,2216842.41,1614699.751,4076269.775,5319228.157,3673197.822,5146565.713,6544006.554,5693189.016,3051550.324,2044830.077,1912775.194,3788900.532,1861883.456,1291040.934,1515469.563,1839846.566,3222458.691,3345859.808,2703165.238,1436090.754,1604814.566,1604943.016,1391059.722,2194006.586,2804125.878,5310527.493,2737488.094,2542543.777,2565383.883,2896834.625,3021117.56,3211761.007,3146604.203
283.0921_1.36,2234359.095,3201848.649,2830490.316,2717301.537,2863783.649,4132656.483,3295115.428,3708259.487,5310253.001,5788999.961,5094370.748,2581886.076,2043756.984,2063075.832,3241619.564,2154301.403,1895482.891,1602383.655,941800.6438,3726355.398,2810874.497,2752623.377,2092375.218,2370521.132,2987078.062,2619033.669,3392158.993,3126936.618,4267429.718,2479697.402,2942361.607,2980306.279,3073420.706,3130661.581,3273998.097,3261029.686
145.1106_0.45,3960673.578,5874350.345,4150134.137,4499081.963,4103670.097,4598182.475,3959493.278,4372511.036,4833147.698,4011942.592,5091443.526,5432188.772,4860242.948,4864199.99,4882341.093,3796899.015,3909941.727,4040306.963,4416128.914,3517017.306,4633145.988,5133080.933,5266105.356,5665879.689,5523379.88,5749879.569,5329263.181,4753108.819,5190613.876,4994667.873,5124532.07,5066953.214,4849847.42,4689463.91,4508270.123,4512820.404
220.1791_0.4,3475350.633,4660805.006,3791292.293,3378428.741,4352191.318,3899723.611,3522575.072,3259324.443,3668892.523,3352347.445,4956579.757,5406170.834,3674233.97,3980747.724,4316090.19,3221529.898,4032997.891,3770960.835,3520706.36,5097312.17,3379854.506,4171146.588,3587979.601,3553171.966,4082694.151,4013979.671,3728455.841,3907600.735,4871909.275,4009506.272,4400617.579,4405590.577,4081105.328,3958426.618,3814044.841,3977890.686
366.1433_1.52,2148503.505,3803156.266,2938075.068,3164328.974,2802022.604,3865654.968,4672293.069,4316795.215,5007828.423,4687009.257,3036583.739,2169545.619,2466972.617,1773419.784,2753969.157,3448355.41,2915649.527,3365365.051,2787321.952,3189150.496,4101625.636,3871034.93,3475230.222,4298856.373,3574506.513,2186970.9,2599478.844,2436539.97,3616297.754,2360681.647,3025894.083,3003860.425,3330927.529,3497231.789,3640522.478,3575171.596
245.163_2.24,1458454.83,2156773.864,1512256.416,1485284.958,1750859.051,3306946.279,5302327.007,4094855.169,4516640.722,4912191.53,1731903.524,2384552.144,1271383.066,1418087.566,2010120.909,2892127.794,1851350.221,1621379.664,1286012.851,1907544.89,1355828.293,1453982.307,1341503.249,1545994.801,874154.7365,2102691.178,4450180.505,2735241.115,2699744.282,3811539.74,2810106.665,2866790.444,2843578.274,2567815.955,2417676.548,2241426.256
536.1622_1.35,2890734.874,4472626.364,2923342.239,3604941.927,4334440.606,7230693.683,5497017.353,3880301.554,8283230.577,8929384.38,7692180.812,3668498.752,2059221.041,2580187.963,4605623.787,2663526.894,1743722.911,1495570.383,3919509.574,8808450.765,2079124.833,1310414.462,1033044.012,843382.8343,794227.3274,633749.5822,1235403.268,1552674.754,2803399.195,1326101.774,3547486.056,3620463.358,3711983.421,3800341.827,3882673.124,3863476.41
